#automap RITHMIC ,,,,,,,,,,,,,,
Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,DIAMETER, DRAW_NOTE_PRICE_HORIZONTAL_LINE
ESM5,6106,Cam_R6,#FFFFFF,#730000,left,1,TRUE
ESM5,6062,Cam_R4,#FFFFFF,#730000,left,1,TRUE
ESM5,6036,Cam_R3,#FFFFFF,#730000,left,1,TRUE
ESM5,6010,Cam_CP,#FFFFFF,#002C45,left,1,TRUE
ESM5,5983,Cam_S3,#FFFFFF,#003300,left,1,TRUE
ESM5,5957.75,Cam_S4,#FFFFFF,#003300,left,1,TRUE
ESM5,5913,Cam_S6,#FFFFFF,#003300,left,1,TRUE
ESM5,6006,EMhi_1,#FFFFFF,#730000,left,1,TRUE
ESM5,5822,EMlow_1,#FFFFFF,#730000,left,1,TRUE
ESM5,5995,POC_Asia,#F5EFFF,#6E00A8,left,1,TRUE
ESM5,6010.5,POC_London,#F5EFFF,#6E00A8,left,1,TRUE
ESM5,5969.5,POC_PrNYC,#F5EFFF,#6E00A8,left,1,TRUE
ESM5,5996,VAL,#000000,#F2F2F2,left,1,TRUE
ESM5,5870,IB_Hi_update,#0A0A0A,#B2B2B2,left,1,TRUE
ESM5,5871,IB_Low_update,#0A0A0A,#B2B2B2,left,1,TRUE
ESM5,6025,PD_High,#000000,#B3CDE0,left,1,TRUE
ESM5,5962,PD_Low,#000000,#B3CDE0,left,1,TRUE
ESM5,5976,SINGL,#000000,#B3CDE0,left,1,TRUE
ESM5,6002,PD_NYC_Open,#000000,#B3CDE0,left,1,TRUE
ESM5,6021,PD_NYC_Hi,#000000,#B3CDE0,left,1,TRUE
ESM5,6016,Asia_High,#000000,#B3CDE0,left,1,TRUE
ESM5,5991.25,Asia_Low,#000000,#B3CDE0,left,1,TRUE
ESM5,5974,London_high,#000000,#B3CDE0,left,1,TRUE
ESM5,6019,London_low,#000000,#B3CDE0,left,1,TRUE
ESM5,6008,PD_VWAP,#000000,#B3CDE0,left,1,TRUE
ESM5,6004,ETH_VWAP,#000000,#B3CDE0,left,1,TRUE
ESM5,5945,PWeek_Mid,#000000,#B3CDE0,left,1,TRUE
ESM5,6009,Weekly_O,#000000,#B3CDE0,left,1,TRUE
ESM5,5992,Monday_Low,#000000,#B3CDE0,left,1,TRUE
ESM5,5958,PW_VWAP,#000000,#B3CDE0,left,1,TRUE
ESM5,5937,W_VWAP_dv1U,#000000,#B3CDE0,left,1,TRUE
ESM5,5965.75,Single_printA,#000000,#B3CDE0,left,1,TRUE
ESM5,5837,P_Quarter_M,#000000,#B3CDE0,left,1,TRUE
ESM5,6023,P_Month_Hi,#000000,#B3CDE0,left,1,TRUE
ESM5,5865,P_Week_Low,#000000,#B3CDE0,left,1,TRUE
ESM5,5644,Q_Open,#000000,#B3CDE0,left,1,TRUE
ESM5,5617,Month_Open,#000000,#B3CDE0,left,1,TRUE
ESM5,5499,Year_Mid,#000000,#B3CDE0,left,1,TRUE
ESM5,5302,Prev_Month_Mid,#000000,#B3CDE0,left,1,TRUE
ESM5,5916.25,FOMC_MAY_DEF,#000000,#B3CDE0,left,1,TRUE
ESM5,5874,CPI_MAY_DEF,#000000,#B3CDE0,left,1,TRUE
ESM5,5825,FOMC_APRIL_DEF,#000000,#B3CDE0,left,1,TRUE
ESM5,5670.75,CPI_APRIL_DEF,#000000,#B3CDE0,left,1,TRUE
ESM5,5950,Year_Open,#000000,#B3CDE0,left,1,TRUE
ESM5,6005,30m_X_SUP,#00FF99,#002B1F,left,1,TRUE
ESM5,6002,30m_X_DEM,#00FF99,#002B1F,left,1,TRUE
ESM5,6020,4H_X_Supply,#FF4D4D,#2B0000,left,1,TRUE
ESM5,6000,4H_X_Supply,#FF4D4D,#2B0000,left,1,TRUE
ESM5,5962,30m_X_DEM,#FF4D4D,#2B0000,left,1,TRUE
ESM5,5900,30m_X_dem,#FF4D4D,#2B0000,left,1,TRUE

